chapter,section,title,url,paragraph_id,sentence,within_para_sent_order,sentence_id
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,"Some prokaryotes have flagella, pili, or fimbriae.",4,11
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,Flagella are used for locomotion.,5,12
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,"Pili exchange genetic material during conjugation, the process by which one bacterium transfers genetic material to another through direct contact.",6,13
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,Bacteria use fimbriae to attach to a host cell.,7,14
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,5,The most effective action anyone can take to prevent the spread of contagious illnesses is to wash his or her hands.,1,15
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,5,Because microbes (organisms so tiny that they can only be seen with microscopes) are ubiquitous.,3,17
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,5,"They live on doorknobs, money, your hands, and many other surfaces.",4,18
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,5,"If someone sneezes into his hand and touches a doorknob, and afterwards you touch that same doorknob, the microbes from the sneezer’s mucus are now on your hands.",5,19
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,5,"If you touch your hands to your mouth, nose, or eyes, those microbes can enter your body and could make you sick.",6,20
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,6,"However, not all microbes (also called microorganisms) cause disease; most are actually beneficial.",1,21
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,6,You have microbes in your gut that make vitamin K.,2,22
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,6,Other microorganisms are used to ferment beer and wine.,3,23
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,7,Microbiologists are scientists who study microbes.,1,24
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,7,Microbiologists can pursue a number of careers.,2,25
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,7,"Not only do they work in the food industry, they are also employed in the veterinary and medical fields.",3,26
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,7,"They can work in the pharmaceutical sector, serving key roles in research and development by identifying new antibiotic sources that can treat bacterial infections.",4,27
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,8,"Environmental microbiologists may look for new ways to use specially selected or genetically engineered microbes to remove pollutants from soil or groundwater, as well as hazardous elements from contaminated sites.",1,28
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,8,We call using these microbes bioremediation technologies.,2,29
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,8,"Microbiologists can also work in the bioinformatics field, providing specialized knowledge and insight for designing, developing, and specificity of computer models of, for example, bacterial epidemics.",3,30
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,9,"At  to  μm in diameter, prokaryotic cells are significantly smaller than eukaryotic cells, which have diameters ranging from 10 to 100 μm (Figure ).",1,31
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,9,The prokaryotes' small size allows ions and organic molecules that enter them to quickly diffuse to other parts of the cell.,2,32
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,9,"Similarly, any wastes produced within a prokaryotic cell can quickly diffuse.",3,33
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,9,"This is not the case in eukaryotic cells, which have developed different structural adaptations to enhance intracellular transport.",4,34
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"Small size, in general, is necessary for all cells, whether prokaryotic or eukaryotic.",1,35
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,Let’s examine why that is so.,2,36
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"First, we’ll consider the area and volume of a typical cell.",3,37
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"Not all cells are spherical in shape, but most tend to approximate a sphere.",4,38
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"You may remember from your high school geometry course that the formula for the surface area of a sphere is 4πr2, while the formula for its volume is 4πr3/3.",5,39
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"Thus, as the radius of a cell increases, its surface area increases as the square of its radius, but its volume increases as the cube of its radius (much more rapidly).",6,40
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"Therefore, as a cell increases in size, its surface area-to-volume ratio decreases.",7,41
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,This same principle would apply if the cell had a cube shape (Figure ).,8,42
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"If the cell grows too large, the plasma membrane will not have sufficient surface area to support the rate of diffusion required for the increased volume.",9,43
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"In other words, as a cell grows, it becomes less efficient.",10,44
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,One way to become more efficient is to divide.,11,45
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,Another way is to develop organelles that perform specific tasks.,12,46
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,10,"These adaptations lead to developing more sophisticated cells, which we call eukaryotic cells.",13,47
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,11,Prokaryotic cells are much smaller than eukaryotic cells.,1,48
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,11,What advantages might small cell size confer on a cell?,2,49
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,11,What advantages might large cell size have?,3,50
